순번,상태정보,등록년월일,휴폐업일,관리사업유형,정비형태,전화번호,사업장상호,사업장주소
1,휴업,1979-03-02,2024-09-04,자동차정비업,자동차종합정비업,02-2672-1468,아우토슈타트(주),서울특별시 영등포구 영신로 224(영등포동8가)
2,영업,1979-01-23,,자동차정비업,자동차종합정비업,02-2679-1141,(주)문래자동차검사정비사업소,서울특별시 영등포구 문래로 31(문래동6가)
3,영업,1979-04-07,,자동차정비업,자동차종합정비업,02-2633-0771,롯데칠성음료신협양평분점,서울특별시 영등포구 양평로24길 33(양평동5가)
4,영업,1981-03-24,,자동차정비업,자동차종합정비업,02-2633-8888,당산현대서비즈 주식회사,서울특별시 영등포구 양평로23길 4(양평동5가)
5,영업,1988-08-17,,자동차정비업,자동차종합정비업,02-2670-2113,한국전력공사 서울정비공장,서울특별시 영등포구 문래로 95(문래동3가)
6,영업,1989-07-01,,자동차정비업,자동차종합정비업,02-2633-7751,영일보링공업사,서울특별시 영등포구 영중로 124(영등포동8가)
7,영업,2000-08-23,,자동차정비업,자동차종합정비업,02-2633-8611,(주)정일현대자동차공업사,서울특별시 영등포구 선유로 103(양평동1가)
8,영업,2000-12-22,,자동차정비업,자동차종합정비업,02-2633-5400,주식회사 르노코리아자동차지정정비센터영등포정비,서울특별시 영등포구 경인로90길 10(문래동1가)
9,영업,2002-11-07,,자동차정비업,자동차종합정비업,02-2670-0860,한국지엠(주)서울서비스센터,서울특별시 영등포구 선유로 234(양평동4가)
10,영업,2002-12-11,,자동차정비업,자동차종합정비업,02-6964-7266,아주오토리움 주식회사,서울특별시 영등포구 선유로 5(문래동5가)
11,영업,2003-04-16,,자동차정비업,자동차종합정비업,02-2676-4112,(주)대성카독크,서울특별시 영등포구 양평로19길 31(양평동4가)
12,영업,2004-06-15,,자동차정비업,자동차종합정비업,02-1588-8040,주식회사 천하자동차,"서울특별시 영등포구 영등포로5길 6, 504동(양평동2가)"
13,영업,2004-06-30,,자동차정비업,자동차종합정비업,02-2676-4441,오토바디모터스,서울특별시 영등포구 양평로21길 16(양평동5가)
14,영업,2006-06-19,,자동차정비업,자동차종합정비업,02-2679-1230,(주)영등포자동차정비검사소,서울특별시 영등포구 문래로 55(문래동6가)
15,영업,2006-12-19,,자동차정비업,자동차종합정비업,02-2678-9100,영등포서비스기아오토큐(주),서울특별시 영등포구 양평로28길 1(양평동6가)
16,영업,2010-07-20,,자동차정비업,자동차종합정비업,02-2675-3000,문래현대서비스(주),서울특별시 영등포구 경인로 780(문래동1가)
17,휴업,2005-11-17,2024-08-06,자동차정비업,소형자동차종합정비업,02-2636-4979,영산자동차 주식회사,서울특별시 영등포구 양산로 93(당산동3가)
18,영업,1992-07-28,,자동차정비업,소형자동차종합정비업,02-2634-2715,대성공업사,서울특별시 영등포구 경인로71길 60(문래동5가)
19,영업,1992-09-26,,자동차정비업,소형자동차종합정비업,02-2636-2686,주식회사 신엠제이모터스,서울특별시 영등포구 선유로 112(양평동1가)
20,영업,2003-09-25,,자동차정비업,소형자동차종합정비업,02-2672-9453,신우카독크,"서울특별시 영등포구 선유로43길 27(양평동3가, 청우오토프라자 124호,132호)"
21,영업,2004-06-28,,자동차정비업,소형자동차종합정비업,02-2678-0184,우리자동차공업사,서울특별시 영등포구 선유로 85-3(양평동1가)
22,영업,2004-08-12,,자동차정비업,소형자동차종합정비업,02-376-8624,삼영자동차공업사,"서울특별시 영등포구 영중로 126, 2층(영등포동8가)"
23,영업,2010-07-06,,자동차정비업,소형자동차종합정비업,02-2688-9777,"주식회사 메카니카(MECHANICAR CO., Ltd.)",서울특별시 영등포구 양평로21가길 9(양평동5가)
24,영업,2011-01-28,,자동차정비업,소형자동차종합정비업,02-854-8686,투투정비서비스,서울특별시 영등포구 영등포로3길 24-1(양평동2가)
25,영업,2020-02-10,,자동차정비업,소형자동차종합정비업,02-2675-4133,수정모터스,서울특별시 영등포구 경인로77길 9(문래동2가)
26,영업,2024-10-23,,자동차정비업,소형자동차종합정비업,02-3661-6461,(주)에이치앤티모터스,서울특별시 영등포구 선유로 155(양평동3가)
27,영업,2003-07-28,,자동차정비업,원동기전문정비업,02-2635-2562,대유디젤커먼레일,서울특별시 영등포구 양평로21나길 3(양평동5가)
28,영업,2013-01-14,,자동차정비업,원동기전문정비업,02-2636-1660,주식회사 디에스엔진,서울특별시 영등포구 영등포로3길 22(양평동2가)
29,영업,1997-06-30,,자동차정비업,자동차전문정비업,02-2676-8204,타이어테크영등포점,서울특별시 영등포구 영중로 105(영등포동8가)
30,영업,1997-06-30,,자동차정비업,자동차전문정비업,02-2679-5454,극동자동차공업사,서울특별시 영등포구 영중로 107(영등포동8가)
31,영업,1997-06-30,,자동차정비업,자동차전문정비업,02-843-7907,영미자동차공업사,서울특별시 영등포구 가마산로 588(신길동)
32,영업,1997-07-11,,자동차정비업,자동차전문정비업,02-2633-2549,성실자동차공업사,서울특별시 영등포구 경인로77길 56-1(문래동4가)
33,영업,1997-07-18,,자동차정비업,자동차전문정비업,02-832-7465,대성자동차공업사,서울특별시 영등포구 가마산로46길 6(대림동)
34,영업,1997-08-29,,자동차정비업,자동차전문정비업,02-2676-8833,태성자동차공업사,"서울특별시 영등포구 영등포로13길 4, 1층(양평동1가)"
35,영업,1997-08-29,,자동차정비업,자동차전문정비업,02-849-8002,현대자동차도림점,서울특별시 영등포구 도신로 115(도림동)
36,영업,1997-08-29,,자동차정비업,자동차전문정비업,02-2676-7399,덕윤자동차공업사,서울특별시 영등포구 국회대로 580(당산동3가)
